Player,Team,Salary
Trevor Booker,WAS,1385280
Trevor Ariza,WAS,7258960
Shelvin Mack,WAS,67253
Shaun Livingston,WAS,256240
Martell Webster,WAS,1600000
Leandro Barbosa,WAS,1229255
Kevin Seraphin,WAS,1797600
John Wall,WAS,5915880
Jason Collins,WAS,1352181
Jannero Pargo,WAS,115122
Jan Vesely,WAS,3294960
Garrett Temple,WAS,572943
Emeka Okafor,WAS,13490000
Earl Barron,WAS,358600
Chris Singleton,WAS,1596360
Cartier Martin,WAS,915852
Bradley Beal,WAS,4133280
Andray Blatche,WAS,7118502
A.J. Price,WAS,885120
Randy Foye,UTA,2500000
Raja Bell,UTA,3480000
Paul Millsap,UTA,8603633
Mo Williams,UTA,8500000
Marvin Williams,UTA,8287500
Kevin Murphy,UTA,473604
Jeremy Evans,UTA,1794872
Gordon Hayward,UTA,2709720
Enes Kanter,UTA,4443360
Earl Watson,UTA,2000000
Derrick Favors,UTA,4753320
Alec Burks,UTA,2171640
Al Jefferson,UTA,15000000
Terrence Ross,TOR,2563320
Sebastian Telfair,TOR,1567500
Rudy Gay,TOR,16460538
Quincy Acy,TOR,665000
Mickael Pietrus,TOR,1005097
Linas Kleiza,TOR,4600000
Landry Fields,TOR,6250000
Kyle Lowry,TOR,5750000
Jonas Valanciunas,TOR,3627720
John Lucas,TOR,1500000
Dominic McGuire,TOR,181018
DeMar DeRozan,TOR,3344250
Andrea Bargnani,TOR,10000000
Amir Johnson,TOR,6000000
Alan Anderson,TOR,885120
Aaron Gray,TOR,2575000
Tony Parker,SAS,12500000
Tim Duncan,SAS,9638554
Tiago Splitter,SAS,3944000
Stephen Jackson,SAS,10059750
Matt Bonner,SAS,3630000
Manu Ginobili,SAS,14107492
Kawhi Leonard,SAS,1861920
James Anderson,SAS,145749
Gary Neal,SAS,854389
DeJuan Blair,SAS,1054000
Danny Green,SAS,3500000
Cory Joseph,SAS,1105560
Boris Diaw,SAS,4500000
Aron Baynes,SAS,401170
Tyreke Evans,SAC,5251825
Travis Outlaw,SAC,3000000
Toney Douglas,SAC,2067880
Patrick Patterson,SAC,2096760
Marcus Thornton,SAC,7525000
John Salmons,SAC,8083000
Jimmer Fredette,SAC,2406240
Jason Thompson,SAC,5250000
James Johnson,SAC,2812006
Isaiah Thomas,SAC,762195
DeMarcus Cousins,SAC,3880800
Cole Aldrich,SAC,2445480
Chuck Hayes,SAC,5486250
Aaron Brooks,SAC,3250000
Will Barton,POR,550000
Wesley Matthews,POR,6505320
Victor Claver,POR,1300000
Shawne Williams,POR,2600000
Sasha Pavlovic,POR,1232713
Nolan Smith,POR,1404960
Nicolas Batum,POR,10850000
Meyers Leonard,POR,2126520
Luke Babbitt,POR,1892280
LaMarcus Aldridge,POR,13500000
Joel Freeland,POR,3013512
Jared Jeffries,POR,1475106
J.J. Hickson,POR,4000000
Eric Maynor,POR,2338721
Elliot Williams,POR,1442880
Damian Lillard,POR,3065040
Brandon Roy,POR,16359805
Wesley Johnson,PHO,4285560
Shannon Brown,PHO,3500000
P.J. Tucker,PHO,762195
Michael Beasley,PHO,5750000
Markieff Morris,PHO,2063040
Marcus Morris,PHO,1959960
Marcin Gortat,PHO,7258960
Luke Zeller,PHO,473604
Luis Scola,PHO,4148510
Kendall Marshall,PHO,1919160
Josh Childress,PHO,7000000
Jared Dudley,PHO,4250000
Hamed Haddadi,PHO,1300000
Goran Dragic,PHO,7500000
Diante Garrett,PHO,473604
Channing Frye,PHO,6000000
Brad Miller,PHO,848000
Thaddeus Young,PHI,8289130
Spencer Hawes,PHI,8500000
Shelvin Mack,PHI,89670
Royal Ivey,PHI,1223166
Nick Young,PHI,5600000
Maalik Wayns,PHI,217301
Lavoy Allen,PHI,3000000
Kwame Brown,PHI,2819044
Jrue Holiday,PHI,2674852
Jeremy Pargo,PHI,443867
Jason Richardson,PHI,5799625
Evan Turner,PHI,5293080
Elton Brand,PHI,16059854
Dorell Wright,PHI,4106000
Damien Wilkins,PHI,1223166
Charles Jenkins,PHI,762195
Arnett Moultrie,PHI,1042320
Andrew Bynum,PHI,16889000
Tobias Harris,ORL,1524480
Quentin Richardson,ORL,2627400
Nikola Vucevic,ORL,1768800
Maurice Harkless,ORL,1731960
Justin Harper,ORL,762195
Jameer Nelson,ORL,8600000
Hedo Turkoglu,ORL,11815850
Hakim Warrick,ORL,4000000
Glen Davis,ORL,6400000
Gilbert Arenas,ORL,20807922
Doron Lamb,ORL,650000
DeQuan Jones,ORL,473504
Christian Eyenga,ORL,1174080
Beno Udrih,ORL,7372000
Arron Afflalo,ORL,7750000
Andrew Nicholson,ORL,1418160
Al Harrington,ORL,6687400
Thabo Sefolosha,OKC,3600000
Serge Ibaka,OKC,2253062
Russell Westbrook,OKC,13668750
Ronnie Brewer,OKC,1069509
Reggie Jackson,OKC,1243080
Perry Jones,OKC,1035960
Nick Collison,OKC,2929332
Kevin Martin,OKC,12439675
Kevin Durant,OKC,16669630
Kendrick Perkins,OKC,7800531
Jeremy Lamb,OKC,2020200
Hasheem Thabeet,OKC,1200000
Derek Fisher,OKC,413608
DeAndre Liggins,OKC,762195
Daniel Orton,OKC,757712
Tyson Chandler,NYK,13604188
Steve Novak,NYK,4054055
Renaldo Balkman,NYK,1675000
Raymond Felton,NYK,3480453
Rasheed Wallace,NYK,1352181
Pablo Prigioni,NYK,473604
Marcus Camby,NYK,4590338
Kenyon Martin,NYK,437470
Jason Kidd,NYK,3090000
James White,NYK,854389
J.R. Smith,NYK,2806452
Iman Shumpert,NYK,1680360
Chris Copeland,NYK,473604
Carmelo Anthony,NYK,19450000
Xavier Henry,NOH,2323200
Ryan Anderson,NOH,8700000
Roger Mason,NOH,1223116
Robin Lopez,NOH,4899293
Rashard Lewis,NOH,13700000
Matt Carroll,NOH,3500000
Lance Thomas,NOH,762195
Jason Smith,NOH,2500000
Greivis Vasquez,NOH,1191240
Eric Gordon,NOH,13668750
Donald Sloan,NOH,44835
Dominic McGuire,NOH,110947
Darius Miller,NOH,473604
Brian Roberts,NOH,473604
Austin Rivers,NOH,2238360
Anthony Davis,NOH,5144280
Al-Farouq Aminu,NOH,2947800
Tyshawn Taylor,NJN,473604
Travis Outlaw,NJN,1000000
Tornike Shengelia,NJN,473604
Reggie Evans,NJN,1622617
Mirza Teletovic,NJN,3090000
MarShon Brooks,NJN,1193280
Kris Humphries,NJN,12000000
Keith Bogans,NJN,1229225
Josh Childress,NJN,377474
Joe Johnson,NJN,19752645
Jerry Stackhouse,NJN,1352181
Gerald Wallace,NJN,9682435
Deron Williams,NJN,17177795
Damion James,NJN,50258
Brook Lopez,NJN,13668750
Andray Blatche,NJN,1146337
Will Conroy,MIN,85439
Ricky Rubio,MIN,3741120
Nikola Pekovic,MIN,4837200
Mickael Gelabale,MIN,447298
Martell Webster,MIN,600000
Malcolm Lee,MIN,762195
Luke Ridnour,MIN,4000000
Lazar Hayward,MIN,80413
Kevin Love,MIN,13668750
Josh Howard,MIN,1229255
Greg Stiemsma,MIN,2575000
Derrick Williams,MIN,4947840
Darko Milicic,MIN,5228000
Dante Cunningham,MIN,2090000
Chris Johnson,MIN,447298
Chase Budinger,MIN,885120
Brandon Roy,MIN,5100000
Andrei Kirilenko,MIN,9779349
Alexey Shved,MIN,2934610
Samuel Dalembert,MIL,6698565
Monta Ellis,MIL,11000000
Mike Dunleavy,MIL,3750000
Marquis Daniels,MIL,1229255
Larry Sanders,MIL,1991760
John Henson,MIL,1823280
Joel Przybilla,MIL,1352181
J.J. Redick,MIL,6190000
Gustavo Ayon,MIL,1500000
Ersan Ilyasova,MIL,7900000
Ekpe Udoh,MIL,3524880
Drew Gooden,MIL,6687400
Brandon Jennings,MIL,3179493
Udonis Haslem,MIA,4060000
Terrel Harris,MIA,186656
Shane Battier,MIA,3135000
Ray Allen,MIA,3090000
Rashard Lewis,MIA,1352181
Norris Cole,MIA,1082520
Mike Miller,MIA,5800000
Mario Chalmers,MIA,4000000
LeBron James,MIA,17545000
Josh Harrellson,MIA,354197
Joel Anthony,MIA,3750000
Jarvis Varnado,MIA,275805
James Jones,MIA,1500000
Dwyane Wade,MIA,17182000
Chris Bosh,MIA,17545000
Chris Andersen,MIA,699952
Zach Randolph,MEM,16500000
Tony Wroten,MEM,1110120
Tony Allen,MEM,3300000
Tayshaun Prince,MEM,6764045
Quincy Pondexter,MEM,1234320
Mike Conley,MEM,7305786
Marc Gasol,MEM,13891359
Jon Leuer,MEM,762195
Jerryd Bayless,MEM,3000000
Ed Davis,MEM,2207040
Dexter Pittman,MEM,854389
Darrell Arthur,MEM,3006217
Chris Johnson,MEM,61290
Austin Daye,MEM,2958077
Steve Nash,LAL,8900000
Steve Blake,LAL,4000000
Robert Sacre,LAL,473604
Pau Gasol,LAL,19000000
Kobe Bryant,LAL,27849149
Jordan Hill,LAL,3632527
Jodie Meeks,LAL,1500000
Earl Clark,LAL,1240000
Dwight Howard,LAL,19536360
Devin Ebanks,LAL,1054389
Darius Morris,LAL,962195
Darius Johnson-Odom,LAL,192228
Chris Duhon,LAL,3500000
Antawn Jamison,LAL,1352181
Willie Green,LAC,1475106
Trey Thompkins,LAC,762195
Travis Leslie,LAC,250000
Ryan Hollins,LAC,1069509
Ryan Gomes,LAC,4000000
Ronny Turiaf,LAC,1146337
Matt Barnes,LAC,1229255
Lamar Odom,LAC,8200000
Jamal Crawford,LAC,5000000
Grant Hill,LAC,1975000
Eric Bledsoe,LAC,1707720
DeAndre Jordan,LAC,10532977
Chris Paul,LAC,17779458
Chauncey Billups,LAC,4000000
Caron Butler,LAC,8000000
Blake Griffin,LAC,7226892
Tyler Hansbrough,IND,3055259
Sam Young,IND,723716
Roy Hibbert,IND,13686750
Paul George,IND,2574120
Orlando Johnson,IND,550000
Miles Plumlee,IND,1073280
Lance Stephenson,IND,870000
Ian Mahinmi,IND,4000000
Gerald Green,IND,3500000
George Hill,IND,8000000
Dominic McGuire,IND,122625
David West,IND,10000000
Danny Granger,IND,13058606
D.J. Augustin,IND,3500000
Ben Hansbrough,IND,473604
Stephen Curry,GSW,3958742
Richard Jefferson,GSW,10164000
Klay Thompson,GSW,2286000
Kent Bazemore,GSW,473604
Jarrett Jack,GSW,5400000
Harrison Barnes,GSW,2798040
Festus Ezeli,GSW,1020960
Draymond Green,GSW,850000
David Lee,GSW,12744000
Carl Landry,GSW,4000000
Brandon Rush,GSW,4000000
Andris Biedrins,GSW,9000000
Andrew Bogut,GSW,13000000
Wilson Chandler,DEN,5930414
Ty Lawson,DEN,2544529
Timofey Mozgov,DEN,3140429
Quincy Miller,DEN,473604
Kosta Koufos,DEN,3000000
Kenneth Faried,DEN,1348800
Julyan Stone,DEN,762195
Jordan Hamilton,DEN,1153800
JaVale McGee,DEN,10000000
Evan Fournier,DEN,1361400
Danilo Gallinari,DEN,9439000
Corey Brewer,DEN,3243000
Chris Andersen,DEN,4526000
Anthony Randolph,DEN,1674641
Andre Miller,DEN,5000000
Andre Iguodala,DEN,14968250
Vince Carter,DAL,3090000
Troy Murphy,DAL,214758
Shawn Marion,DAL,8646364
Rodrigue Beaubois,DAL,2227333
O.J. Mayo,DAL,4020000
Mike James,DAL,795401
Jared Cunningham,DAL,1156320
Jae Crowder,DAL,600491
Elton Brand,DAL,2100500
Eddy Curry,DAL,23852
Dominique Jones,DAL,1276560
Dirk Nowitzki,DAL,20907128
Derek Fisher,DAL,182942
Delonte West,DAL,992680
Darren Collison,DAL,2319344
Chris Kaman,DAL,8000000
Chris Douglas-Roberts,DAL,72892
Brendan Haywood,DAL,6299000
Bernard James,DAL,473604
Anthony Morrow,DAL,4000000
Wayne Ellington,CLE,2083042
Tyler Zeller,CLE,1563120
Tristan Thompson,CLE,4006080
Shaun Livingston,CLE,768720
Samardo Samuels,CLE,341756
Omri Casspi,CLE,2277306
Marreese Speights,CLE,4200000
Luke Walton,CLE,6091363
Luke Harangody,CLE,1054389
Kyrie Irving,CLE,5530080
Kevin Jones,CLE,390027
Kelenna Azubuike,CLE,885120
Josh Selby,CLE,762195
Jeremy Pargo,CLE,762195
Donald Sloan,CLE,251076
Dion Waiters,CLE,3726600
Daniel Gibson,CLE,4792332
C.J. Miles,CLE,2225000
Baron Davis,CLE,14850000
Anderson Varejao,CLE,8368182
Alonzo Gee,CLE,3500000
Vladimir Radmanovic,CHI,1352181
Taj Gibson,CHI,2155811
Richard Hamilton,CHI,5000000
Nazr Mohammed,CHI,1352181
Nate Robinson,CHI,1146337
Marquis Teague,CHI,1028400
Marco Belinelli,CHI,1957000
Luol Deng,CHI,13305000
Kirk Hinrich,CHI,3941000
Joakim Noah,CHI,11300000
Jimmy Butler,CHI,1097520
Derrick Rose,CHI,16402500
Daequan Cook,CHI,589769
Carlos Boozer,CHI,15000000
Zaza Pachulia,ATL,5248750
Mike Scott,ATL,473604
Kyle Korver,ATL,5000000
Josh Smith,ATL,13200000
Jordan Williams,ATL,762195
Jordan Farmar,ATL,1500000
John Jenkins,ATL,1204560
Johan Petro,ATL,3500000
Jeremy Tyler,ATL,762195
Jeff Teague,ATL,2433077
Jannero Pargo,ATL,165487
Ivan Johnson,ATL,962195
Devin Harris,ATL,8500000
DeShawn Stevenson,ATL,2240450
Dahntay Jones,ATL,2900000
Anthony Tolliver,ATL,915852
Al Horford,ATL,12000000
